[2026-05-11 21:52:20] HARTH class 7 (lying) T=0.8
[2026-05-11 21:52:20]   4689 windows
[2026-05-11 21:52:27] #0001/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:54:21] #0229/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:54:44] #0230/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:54:51] #0231/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:55:10] #0232/04689 | true=lying | pred=sit | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 22:55:23] #0233/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:55:47] #0234/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:56:06] #0235/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 22:56:15] #0236/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:56:41] #0237/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:56:54] #0238/04689 | true=lying | pred=sit | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:57:05] #0239/04689 | true=lying | pred=lying | ✓ | ent=0.243 conf=0.950 gap=0.916
[2026-05-11 22:57:09] #0240/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:57:09]   [240/4689] acc=40% filt=234
[2026-05-11 22:57:28] #0241/04689 | true=lying | pred=shuffle | ✗ | ent=1.089 conf=0.400 gap=0.100
[2026-05-11 22:57:36] #0242/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:58:05] #0243/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:58:18] #0244/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:58:26] #0245/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:58:50] #0246/04689 | true=lying | pred=lying | ✓ | ent=0.852 conf=0.700 gap=0.500
[2026-05-11 22:59:25] #0247/04689 | true=lying | pred=lying | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 22:59:43] #0248/04689 | true=lying | pred=lying | ✓ | ent=0.313 conf=0.940 gap=0.910
[2026-05-11 22:59:51] #0249/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:00:11] #0250/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:00:23] #0251/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:00:42] #0252/04689 | true=lying | pred=stand | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:00:53] #0253/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:01:09] #0254/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:01:20] #0255/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:01:43] #0256/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:01:53] #0257/04689 | true=lying | pred=stairs_up | ✗ | ent=1.399 conf=0.350 gap=0.000
[2026-05-11 23:02:10] #0258/04689 | true=lying | pred=lying | ✓ | ent=0.939 conf=0.700 gap=0.550
[2026-05-11 23:02:34] #0259/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:02:42] #0260/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:02:42]   [260/4689] acc=40% filt=252
[2026-05-11 23:03:04] #0261/04689 | true=lying | pred=stand | ✗ | ent=0.196 conf=0.960 gap=0.940
[2026-05-11 23:03:27] #0262/04689 | true=lying | pred=stand | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-11 23:03:41] #0263/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:04:01] #0264/04689 | true=lying | pred=stand | ✗ | ent=0.631 conf=0.850 gap=0.760
[2026-05-11 23:04:15] #0265/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:04:45] #0266/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:05:10] #0267/04689 | true=lying | pred=stand | ✗ | ent=0.635 conf=0.850 gap=0.770
[2026-05-11 23:05:21] #0268/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 23:05:40] #0269/04689 | true=lying | pred=lying | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 23:05:48] #0270/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:05:59] #0271/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:06:04] #0272/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:06:17] #0273/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:06:28] #0274/04689 | true=lying | pred=lying | ✓ | ent=1.076 conf=0.700 gap=0.600
[2026-05-11 23:06:54] #0275/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:06:58] #0276/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:07:14] #0277/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:07:27] #0278/04689 | true=lying | pred=lying | ✓ | ent=0.489 conf=0.895 gap=0.855
[2026-05-11 23:07:36] #0279/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:07:45] #0280/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:07:45]   [280/4689] acc=40% filt=271
[2026-05-11 23:07:58] #0281/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:08:25] #0282/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:08:32] #0283/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:08:38] #0284/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:08:43] #0285/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:09:09] #0286/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:09:27] #0287/04689 | true=lying | pred=lying | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-11 23:09:47] #0288/04689 | true=lying | pred=stand | ✗ | ent=0.485 conf=0.880 gap=0.800
[2026-05-11 23:09:51] #0289/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:10:06] #0290/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:10:26] #0291/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:10:42] #0292/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:11:15] #0293/04689 | true=lying | pred=stand | ✗ | ent=0.453 conf=0.900 gap=0.860
[2026-05-11 23:11:23] #0294/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:11:49] #0295/04689 | true=lying | pred=stand | ✗ | ent=1.512 conf=0.550 gap=0.400
[2026-05-11 23:12:01] #0296/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:12:08] #0297/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:12:24] #0298/04689 | true=lying | pred=sit | ✗ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 23:12:34] #0299/04689 | true=lying | pred=stand | ✗ | ent=0.852 conf=0.800 gap=0.730
[2026-05-11 23:12:47] #0300/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:12:47]   [300/4689] acc=40% filt=290
[2026-05-11 23:13:16] #0301/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:13:31] #0302/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:13:44] #0303/04689 | true=lying | pred=lying | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-11 23:14:13] #0304/04689 | true=lying | pred=stand | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-11 23:14:27] #0305/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:14:33] #0306/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:14:43] #0307/04689 | true=lying | pred=lying | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-11 23:14:50] #0308/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 23:14:56] #0309/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:15:26] #0310/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:15:31] #0311/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:15:45] #0312/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:16:06] #0313/04689 | true=lying | pred=stand | ✗ | ent=0.334 conf=0.930 gap=0.890
[2026-05-11 23:17:19] #0314/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:17:27] #0315/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:17:34] #0316/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:18:04] #0317/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:18:37] #0318/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:19:04] #0319/04689 | true=lying | pred=shuffle | ✗ | ent=0.859 conf=0.800 gap=0.750
[2026-05-11 23:19:09] #0320/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:19:09]   [320/4689] acc=40% filt=310
[2026-05-11 23:19:38] #0321/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:19:47] #0322/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:20:14] #0323/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:20:46] #0324/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:20:54] #0325/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:21:48] #0326/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:22:14] #0327/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:22:28] #0328/04689 | true=lying | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 23:22:35] #0329/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:22:45] #0330/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:22:52] #0331/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:22:55] #0332/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:23:09] #0333/04689 | true=lying | pred=lying | ✓ | ent=0.780 conf=0.700 gap=0.450
[2026-05-11 23:23:16] #0334/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:23:29] #0335/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:23:37] #0336/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:27:09] #0337/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:27:20] #0338/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 23:27:27] #0339/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:27:30] #0340/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:27:30]   [340/4689] acc=40% filt=330
[2026-05-11 23:27:38] #0341/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:27:58] #0342/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:28:05] #0343/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:28:16] #0344/04689 | true=lying | pred=lying | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 23:29:02] #0345/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:29:10] #0346/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:29:17] #0347/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:29:40] #0348/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:30:09] #0349/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:30:20] #0350/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:30:53] #0351/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:30:57] #0352/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:31:16] #0353/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:31:59] #0354/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:32:07] #0355/04689 | true=lying | pred=sit | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:33:01] #0356/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:33:14] #0357/04689 | true=lying | pred=lying | ✓ | ent=0.962 conf=0.750 gap=0.650
[2026-05-11 23:34:09] #0358/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:34:19] #0359/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:34:49] #0360/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:34:49]   [360/4689] acc=39% filt=349
[2026-05-11 23:35:18] #0361/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:36:25] #0362/04689 | true=lying | pred=stand | ✗ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 23:36:31] #0363/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:36:45] #0364/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:36:51] #0365/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:38:03] #0366/04689 | true=lying | pred=stand | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:38:14] #0367/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:38:22] #0368/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:38:32] #0369/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:38:38] #0370/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:38:41] #0371/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:38:46] #0372/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:38:52] #0373/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:40:27] #0374/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:40:41] #0375/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:40:47] #0376/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:40:54] #0377/04689 | true=lying | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:41:13] #0378/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:41:38] #0379/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:41:44] #0380/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:41:44]   [380/4689] acc=39% filt=369
[2026-05-11 23:41:51] #0381/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:42:06] #0382/04689 | true=lying | pred=stand | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:42:29] #0383/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:42:42] #0384/04689 | true=lying | pred=stand | ✗ | ent=1.030 conf=0.500 gap=0.200
[2026-05-11 23:42:56] #0385/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:43:04] #0386/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:43:07] #0387/04689 | true=lying | pred=lying | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:43:38] #0388/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:43:49] #0389/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:44:00] #0390/04689 | true=lying | pred=stand | ✗ | ent=0.055 conf=0.993 gap=0.992
[2026-05-11 23:44:08] #0391/04689 | true=lying | pred=lying | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-11 23:45:04] #0392/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:45:24] #0393/04689 | true=lying | pred=stand | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:46:05] #0394/04689 | true=lying | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:46:11] #0395/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:46:40] #0396/04689 | true=lying | pred=stand | ✗ | ent=0.500 conf=0.900 gap=0.860
[2026-05-11 23:46:53] #0397/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:46:58] #0398/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:47:10] #0399/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:47:12] #0400/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:47:12]   [400/4689] acc=39% filt=388
[2026-05-11 23:48:06] #0401/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:48:20] #0402/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:48:48] #0403/04689 | true=lying | pred=stand | ✗ | ent=1.040 conf=0.500 gap=0.250
[2026-05-11 23:48:53] #0404/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:49:15] #0405/04689 | true=lying | pred=stand | ✗ | ent=1.099 conf=0.340 gap=0.010
[2026-05-11 23:49:34] #0406/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:50:31] #0407/04689 | true=lying | pred=stand | ✗ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 23:51:25] #0408/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:51:44] #0409/04689 | true=lying | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:52:10] #0410/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:52:16] #0411/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:52:23] #0412/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:52:30] #0413/04689 | true=lying | pred=sit | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:52:43] #0414/04689 | true=lying | pred=stand | ✗ | ent=0.503 conf=0.875 gap=0.785
[2026-05-11 23:53:38] #0415/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:54:38] #0416/04689 | true=lying | pred=stand | ✗ | ent=0.925 conf=0.750 gap=0.650
[2026-05-11 23:54:45] #0417/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:55:37] #0418/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:55:42] #0419/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:55:49] #0420/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:55:49]   [420/4689] acc=39% filt=406
[2026-05-11 23:56:02] #0421/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:56:32] #0422/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:56:54] #0423/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:57:15] #0424/04689 | true=lying | pred=lying | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:57:28] #0425/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:57:50] #0426/04689 | true=lying | pred=stand | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-11 23:58:50] #0427/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:59:01] #0428/04689 | true=lying | pred=stand | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:59:04] #0429/04689 | true=lying | pred=lying | ✓ | ent=1.089 conf=0.400 gap=0.100
[2026-05-11 23:59:10] #0430/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:00:14] #0431/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:00:29] #0432/04689 | true=lying | pred=stand | ✗ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 00:00:59] #0433/04689 | true=lying | pred=stand | ✗ | ent=0.867 conf=0.750 gap=0.600
[2026-05-12 00:01:06] #0434/04689 | true=lying | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 00:01:12] #0435/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:01:31] #0436/04689 | true=lying | pred=lying | ✓ | ent=0.998 conf=0.750 gap=0.670
[2026-05-12 00:01:58] #0437/04689 | true=lying | pred=sit | ✗ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 00:02:09] #0438/04689 | true=lying | pred=stand | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 00:02:26] #0439/04689 | true=lying | pred=stand | ✗ | ent=0.773 conf=0.780 gap=0.630
[2026-05-12 00:02:42] #0440/04689 | true=lying | pred=sit | ✗ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 00:02:42]   [440/4689] acc=38% filt=425
[2026-05-12 00:03:17] #0441/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:03:20] #0442/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:03:29] #0443/04689 | true=lying | pred=stand | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 00:04:24] #0444/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:04:37] #0445/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:05:06] #0446/04689 | true=lying | pred=stand | ✗ | ent=1.268 conf=0.580 gap=0.400
