[2026-05-11 21:51:29] HARTH class 2 (shuffle) T=0.8
[2026-05-11 21:51:29]   2770 windows
[2026-05-11 21:51:34] #0001/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:52:38] #0217/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 22:53:07] #0218/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.158 conf=0.600 gap=0.400
[2026-05-11 22:53:33] #0219/02770 | true=shuffle | pred=lying | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:53:56] #0220/02770 | true=shuffle | pred=walk | ✗ | ent=1.429 conf=0.550 gap=0.370
[2026-05-11 22:53:56]   [220/2770] acc=52% filt=169
[2026-05-11 22:54:02] #0221/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:54:07] #0222/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:54:23] #0223/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.065 conf=0.700 gap=0.600
[2026-05-11 22:54:57] #0224/02770 | true=shuffle | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:55:01] #0225/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:55:10] #0226/02770 | true=shuffle | pred=stairs_down | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:55:45] #0227/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:55:58] #0228/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-11 22:56:09] #0229/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.275 conf=0.550 gap=0.300
[2026-05-11 22:56:16] #0230/02770 | true=shuffle | pred=stand | ✗ | ent=1.101 conf=0.550 gap=0.200
[2026-05-11 22:56:40] #0231/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.484 conf=0.400 gap=0.150
[2026-05-11 22:56:56] #0232/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-11 22:57:06] #0233/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.977 conf=0.750 gap=0.650
[2026-05-11 22:57:28] #0234/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:57:34] #0235/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.173 conf=0.550 gap=0.250
[2026-05-11 22:58:03] #0236/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-11 22:58:26] #0237/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.029 conf=0.750 gap=0.700
[2026-05-11 22:58:37] #0238/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.326 conf=0.450 gap=0.100
[2026-05-11 22:59:19] #0239/02770 | true=shuffle | pred=walk | ✗ | ent=1.788 conf=0.350 gap=0.200
[2026-05-11 22:59:45] #0240/02770 | true=shuffle | pred=walk | ✗ | ent=1.649 conf=0.350 gap=0.100
[2026-05-11 22:59:45]   [240/2770] acc=53% filt=183
[2026-05-11 23:00:17] #0241/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.399 conf=0.350 gap=0.000
[2026-05-11 23:00:30] #0242/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.139 conf=0.550 gap=0.250
[2026-05-11 23:00:44] #0243/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.223 conf=0.960 gap=0.950
[2026-05-11 23:00:52] #0244/02770 | true=shuffle | pred=stand | ✗ | ent=1.040 conf=0.500 gap=0.250
[2026-05-11 23:00:55] #0245/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:01:38] #0246/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.231 conf=0.550 gap=0.250
[2026-05-11 23:01:49] #0247/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:02:06] #0248/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.566 conf=0.450 gap=0.200
[2026-05-11 23:02:37] #0249/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.110 conf=0.450 gap=0.000
[2026-05-11 23:03:11] #0250/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.237 conf=0.650 gap=0.550
[2026-05-11 23:03:38] #0251/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.240 conf=0.620 gap=0.440
[2026-05-11 23:03:42] #0252/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:04:05] #0253/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.027 conf=0.606 gap=0.303
[2026-05-11 23:04:24] #0254/02770 | true=shuffle | pred=sit | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 23:04:30] #0255/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.332 conf=0.400 gap=0.000
[2026-05-11 23:04:43] #0256/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:05:05] #0257/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:05:16] #0258/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:05:35] #0259/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.680 conf=0.850 gap=0.790
[2026-05-11 23:05:47] #0260/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:05:47]   [260/2770] acc=54% filt=196
[2026-05-11 23:06:21] #0261/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.503 conf=0.450 gap=0.150
[2026-05-11 23:06:27] #0262/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:06:30] #0263/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:06:34] #0264/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.118 conf=0.450 gap=0.000
[2026-05-11 23:07:00] #0265/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:07:11] #0266/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 23:07:14] #0267/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:07:37] #0268/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:07:50] #0269/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.753 conf=0.300 gap=0.100
[2026-05-11 23:07:59] #0270/02770 | true=shuffle | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:08:08] #0271/02770 | true=shuffle | pred=sit | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-11 23:08:11] #0272/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:08:19] #0273/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:08:46] #0274/02770 | true=shuffle | pred=stand | ✗ | ent=1.709 conf=0.250 gap=0.050
[2026-05-11 23:09:11] #0275/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:09:28] #0276/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-11 23:09:46] #0277/02770 | true=shuffle | pred=walk | ✗ | ent=0.919 conf=0.780 gap=0.730
[2026-05-11 23:10:08] #0278/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.818 conf=0.700 gap=0.450
[2026-05-11 23:10:35] #0279/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:10:42] #0280/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.617 conf=0.300 gap=0.000
[2026-05-11 23:10:42]   [280/2770] acc=55% filt=210
[2026-05-11 23:11:08] #0281/02770 | true=shuffle | pred=walk | ✗ | ent=1.361 conf=0.450 gap=0.200
[2026-05-11 23:11:14] #0282/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:11:19] #0283/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 23:11:27] #0284/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-11 23:11:41] #0285/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:11:50] #0286/02770 | true=shuffle | pred=sit | ✗ | ent=1.143 conf=0.700 gap=0.620
[2026-05-11 23:12:13] #0287/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 23:12:39] #0288/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-11 23:13:00] #0289/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.036 conf=0.700 gap=0.550
[2026-05-11 23:13:07] #0290/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-11 23:13:13] #0291/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 23:13:20] #0292/02770 | true=shuffle | pred=walk | ✗ | ent=0.382 conf=0.920 gap=0.870
[2026-05-11 23:13:41] #0293/02770 | true=shuffle | pred=stand | ✗ | ent=0.781 conf=0.750 gap=0.600
[2026-05-11 23:13:46] #0294/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.522 conf=0.350 gap=0.000
[2026-05-11 23:14:18] #0295/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:14:39] #0296/02770 | true=shuffle | pred=walk | ✗ | ent=1.127 conf=0.700 gap=0.600
[2026-05-11 23:14:52] #0297/02770 | true=shuffle | pred=stand | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:15:21] #0298/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.373 conf=0.450 gap=0.100
[2026-05-11 23:15:51] #0299/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-11 23:16:51] #0300/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.367 conf=0.880 gap=0.760
[2026-05-11 23:16:51]   [300/2770] acc=56% filt=226
[2026-05-11 23:17:14] #0301/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 23:17:38] #0302/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:18:27] #0303/02770 | true=shuffle | pred=run | ✗ | ent=0.482 conf=0.900 gap=0.850
[2026-05-11 23:18:49] #0304/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.515 conf=0.880 gap=0.810
[2026-05-11 23:19:03] #0305/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:19:21] #0306/02770 | true=shuffle | pred=walk | ✗ | ent=1.557 conf=0.400 gap=0.200
[2026-05-11 23:19:43] #0307/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.824 conf=0.600 gap=0.250
[2026-05-11 23:20:20] #0308/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:20:25] #0309/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:20:42] #0310/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:20:59] #0311/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-11 23:21:07] #0312/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.585 conf=0.850 gap=0.750
[2026-05-11 23:22:13] #0313/02770 | true=shuffle | pred=stand | ✗ | ent=0.466 conf=0.880 gap=0.800
[2026-05-11 23:22:25] #0314/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:22:40] #0315/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 23:22:51] #0316/02770 | true=shuffle | pred=lying | ✗ | ent=1.228 conf=0.600 gap=0.500
[2026-05-11 23:23:16] #0317/02770 | true=shuffle | pred=stand | ✗ | ent=0.485 conf=0.880 gap=0.800
[2026-05-11 23:23:49] #0318/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:24:02] #0319/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:24:10] #0320/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.055 conf=0.400 gap=0.000
[2026-05-11 23:24:10]   [320/2770] acc=56% filt=241
[2026-05-11 23:24:17] #0321/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:24:48] #0322/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:25:16] #0323/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:25:55] #0324/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.087 conf=0.700 gap=0.580
[2026-05-11 23:26:05] #0325/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.127 conf=0.700 gap=0.600
[2026-05-11 23:26:34] #0326/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:26:46] #0327/02770 | true=shuffle | pred=stand | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:26:59] #0328/02770 | true=shuffle | pred=sit | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:28:01] #0329/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.134 conf=0.620 gap=0.370
[2026-05-11 23:28:54] #0330/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.722 conf=0.200 gap=0.000
[2026-05-11 23:29:23] #0331/02770 | true=shuffle | pred=stand | ✗ | ent=1.094 conf=0.500 gap=0.150
[2026-05-11 23:29:56] #0332/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:29:58] #0333/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:30:12] #0334/02770 | true=shuffle | pred=walk | ✗ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:30:45] #0335/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.017 conf=0.750 gap=0.700
[2026-05-11 23:31:49] #0336/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:31:55] #0337/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.096 conf=0.350 gap=0.000
[2026-05-11 23:32:02] #0338/02770 | true=shuffle | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:33:07] #0339/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:33:18] #0340/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:33:18]   [340/2770] acc=56% filt=258
[2026-05-11 23:33:43] #0341/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:33:52] #0342/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-11 23:34:30] #0343/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.238 conf=0.500 gap=0.200
[2026-05-11 23:35:31] #0344/02770 | true=shuffle | pred=stand | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:36:32] #0345/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.993 conf=0.750 gap=0.670
[2026-05-11 23:37:27] #0346/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:37:33] #0347/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:37:41] #0348/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:38:50] #0349/02770 | true=shuffle | pred=stand | ✗ | ent=1.521 conf=0.500 gap=0.330
[2026-05-11 23:39:19] #0350/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:39:30] #0351/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-11 23:39:34] #0352/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.142 conf=0.570 gap=0.260
[2026-05-11 23:39:41] #0353/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:40:00] #0354/02770 | true=shuffle | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:40:07] #0355/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:40:39] #0356/02770 | true=shuffle | pred=stand | ✗ | ent=0.659 conf=0.780 gap=0.600
[2026-05-11 23:40:54] #0357/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:41:15] #0358/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.332 conf=0.400 gap=0.000
[2026-05-11 23:41:40] #0359/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:41:53] #0360/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.950 conf=0.720 gap=0.540
[2026-05-11 23:41:53]   [360/2770] acc=56% filt=273
[2026-05-11 23:42:58] #0361/02770 | true=shuffle | pred=walk | ✗ | ent=1.722 conf=0.350 gap=0.150
[2026-05-11 23:43:11] #0362/02770 | true=shuffle | pred=lying | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:43:52] #0363/02770 | true=shuffle | pred=walk | ✗ | ent=1.618 conf=0.350 gap=0.050
[2026-05-11 23:44:02] #0364/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.871 conf=0.650 gap=0.350
[2026-05-11 23:45:11] #0365/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.782 conf=0.200 gap=0.000
[2026-05-11 23:45:50] #0366/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:46:03] #0367/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-11 23:46:16] #0368/02770 | true=shuffle | pred=stand | ✗ | ent=0.867 conf=0.750 gap=0.600
[2026-05-11 23:46:30] #0369/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:46:40] #0370/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.745 conf=0.350 gap=0.100
[2026-05-11 23:47:04] #0371/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:47:12] #0372/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:47:38] #0373/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.081 conf=0.400 gap=0.050
[2026-05-11 23:47:42] #0374/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.915 conf=0.250 gap=0.100
[2026-05-11 23:48:10] #0375/02770 | true=shuffle | pred=walk | ✗ | ent=0.956 conf=0.750 gap=0.670
[2026-05-11 23:49:12] #0376/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:49:27] #0377/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.596 conf=0.350 gap=0.050
[2026-05-11 23:49:40] #0378/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.977 conf=0.700 gap=0.500
[2026-05-11 23:50:58] #0379/02770 | true=shuffle | pred=stand | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:51:30] #0380/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.081 conf=0.400 gap=0.050
[2026-05-11 23:51:30]   [380/2770] acc=56% filt=284
[2026-05-11 23:51:58] #0381/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.036 conf=0.700 gap=0.550
[2026-05-11 23:52:26] #0382/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.892 conf=0.750 gap=0.620
[2026-05-11 23:52:29] #0383/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:52:42] #0384/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:52:45] #0385/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:53:11] #0386/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:54:36] #0387/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.250 conf=0.500 gap=0.150
[2026-05-11 23:54:44] #0388/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-11 23:55:16] #0389/02770 | true=shuffle | pred=run | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:55:19] #0390/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.846 conf=0.350 gap=0.200
[2026-05-11 23:55:22] #0391/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.055 conf=0.400 gap=0.000
[2026-05-11 23:55:24] #0392/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:55:33] #0393/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 23:55:36] #0394/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:55:58] #0395/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:56:26] #0396/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-11 23:56:39] #0397/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:56:42] #0398/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:57:53] #0399/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-11 23:58:07] #0400/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:58:07]   [400/2770] acc=57% filt=297
[2026-05-11 23:58:43] #0401/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.723 conf=0.840 gap=0.790
[2026-05-11 23:59:02] #0402/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:00:02] #0403/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:00:18] #0404/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:01:16] #0405/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.124 conf=0.450 gap=0.000
[2026-05-12 00:01:24] #0406/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 00:01:36] #0407/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.649 conf=0.850 gap=0.770
[2026-05-12 00:02:05] #0408/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 00:02:13] #0409/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:02:17] #0410/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.937 conf=0.490 gap=0.030
[2026-05-12 00:02:37] #0411/02770 | true=shuffle | pred=lying | ✗ | ent=0.789 conf=0.800 gap=0.700
[2026-05-12 00:03:00] #0412/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:03:08] #0413/02770 | true=shuffle | pred=walk | ✗ | ent=1.012 conf=0.750 gap=0.700
[2026-05-12 00:03:25] #0414/02770 | true=shuffle | pred=stairs_down | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:03:47] #0415/02770 | true=shuffle | pred=walk | ✗ | ent=1.693 conf=0.350 gap=0.100
[2026-05-12 00:05:13] #0416/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:05:25] #0417/02770 | true=shuffle | pred=walk | ✗ | ent=1.555 conf=0.400 gap=0.150
[2026-05-12 00:05:57] #0418/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:06:13] #0419/02770 | true=shuffle | pred=stand | ✗ | ent=0.878 conf=0.750 gap=0.600
[2026-05-12 00:06:24] #0420/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:06:24]   [420/2770] acc=57% filt=313
[2026-05-12 00:06:36] #0421/02770 | true=shuffle | pred=walk | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 00:07:45] #0422/02770 | true=shuffle | pred=stand | ✗ | ent=1.322 conf=0.550 gap=0.300
[2026-05-12 00:08:16] #0423/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.711 conf=0.400 gap=0.200
[2026-05-12 00:08:23] #0424/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 00:08:31] #0425/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.672 conf=0.350 gap=0.050
[2026-05-12 00:08:43] #0426/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.759 conf=0.780 gap=0.630
[2026-05-12 00:09:52] #0427/02770 | true=shuffle | pred=stairs_down | ✗ | ent=0.908 conf=0.500 gap=0.050
[2026-05-12 00:11:07] #0428/02770 | true=shuffle | pred=stand | ✗ | ent=0.867 conf=0.750 gap=0.600
[2026-05-12 00:11:30] #0429/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
